t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.497242,-0.203543,0.199470,0.000607,0.000674,0.000271,-9.038617,MOVE_JOINT
0.001000,0.497242,-0.203544,0.199470,0.000401,0.000031,0.000173,-9.038617,MOVE_JOINT
0.002000,0.497241,-0.203544,0.199469,-0.001039,-0.000229,-0.000807,-8.992490,MOVE_JOINT
0.003000,0.497240,-0.203542,0.199468,-0.001755,0.000600,-0.001448,-8.955589,MOVE_JOINT
0.004000,0.497232,-0.203540,0.199462,-0.003780,0.000720,-0.002831,-8.926075,MOVE_JOINT
0.005000,0.497222,-0.203539,0.199452,-0.005144,0.000849,-0.004926,-8.934480,MOVE_JOINT
0.006000,0.497219,-0.203539,0.199445,-0.003415,0.000834,-0.004269,-8.941206,MOVE_JOINT
0.007000,0.497209,-0.203539,0.199431,-0.003268,0.001696,-0.006160,-8.902210,MOVE_JOINT
0.008000,0.497202,-0.203542,0.199418,-0.003448,-0.000040,-0.007231,-8.871012,MOVE_JOINT
0.009000,0.497202,-0.203542,0.199412,-0.002163,0.000265,-0.006624,-8.846050,MOVE_JOINT
0.010000,0.497194,-0.203551,0.199401,-0.004492,-0.003805,-0.007879,-8.826076,MOVE_JOINT
0.011000,0.497184,-0.203560,0.199388,-0.006698,-0.006349,-0.009474,-8.801240,MOVE_JOINT
0.012000,0.497181,-0.203565,0.199382,-0.006753,-0.006502,-0.009394,-8.468280,MOVE_JOINT
0.013000,0.497176,-0.203570,0.199378,-0.007342,-0.006404,-0.009008,-8.201916,MOVE_JOINT
0.014000,0.497167,-0.203574,0.199372,-0.009320,-0.005875,-0.009303,-7.988833,MOVE_JOINT
0.015000,0.497154,-0.203577,0.199361,-0.011085,-0.004725,-0.010058,-7.636951,MOVE_JOINT
0.016000,0.497144,-0.203582,0.199356,-0.011903,-0.005186,-0.009379,-7.355464,MOVE_JOINT
0.017000,0.497129,-0.203583,0.199349,-0.013655,-0.003561,-0.009175,-7.250646,MOVE_JOINT
0.018000,0.497112,-0.203589,0.199342,-0.015148,-0.004306,-0.008876,-7.166800,MOVE_JOINT
0.019000,0.497097,-0.203586,0.199337,-0.014911,-0.002803,-0.007509,-7.099735,MOVE_JOINT
0.020000,0.497075,-0.203589,0.199328,-0.016773,-0.002830,-0.007510,-7.483315,MOVE_JOINT
0.021000,0.497059,-0.203585,0.199319,-0.017034,-0.000819,-0.007848,-7.790160,MOVE_JOINT
0.022000,0.497043,-0.203579,0.199310,-0.016219,0.001663,-0.008352,-8.256491,MOVE_JOINT
