t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.414107,-0.024576,0.177387,0.000422,-0.000562,0.000214,-1.302896,WAIT_USER_CONFIRM
0.001000,0.414107,-0.024576,0.177386,0.000332,-0.000400,0.000210,-1.302884,WAIT_USER_CONFIRM
0.002000,0.414112,-0.024580,0.177391,0.001595,-0.001271,0.001337,-1.302827,WAIT_USER_CONFIRM
0.003000,0.414110,-0.024580,0.177388,0.000149,-0.001164,0.000156,-1.302670,WAIT_USER_CONFIRM
0.004000,0.414112,-0.024577,0.177391,0.001516,0.000023,0.001467,-1.302344,WAIT_USER_CONFIRM
0.005000,0.414111,-0.024579,0.177390,0.001040,-0.000036,0.001087,-1.301765,WAIT_USER_CONFIRM
0.006000,0.414110,-0.024579,0.177388,0.000617,-0.000034,0.000456,-1.300833,WAIT_USER_CONFIRM
0.007000,0.414108,-0.024580,0.177387,-0.000603,-0.000216,-0.000416,-1.299455,WAIT_USER_CONFIRM
0.008000,0.414105,-0.024576,0.177384,-0.001614,0.000934,-0.001798,-1.297601,WAIT_USER_CONFIRM
0.009000,0.414107,-0.024579,0.177385,-0.001060,-0.000242,-0.001415,-1.295350,WAIT_USER_CONFIRM
0.010000,0.414109,-0.024579,0.177388,-0.000771,-0.000003,-0.000670,-1.292878,WAIT_USER_CONFIRM
0.011000,0.414107,-0.024574,0.177384,-0.001422,0.001494,-0.001607,-1.290400,WAIT_USER_CONFIRM
0.012000,0.414106,-0.024577,0.177386,-0.001590,0.000820,-0.001289,-1.288110,WAIT_USER_CONFIRM
0.013000,0.414106,-0.024579,0.177387,-0.001014,-0.000400,-0.000389,-1.286172,WAIT_USER_CONFIRM
0.014000,0.414106,-0.024576,0.177387,-0.000247,-0.000102,-0.000139,-1.284692,WAIT_USER_CONFIRM
0.015000,0.414107,-0.024573,0.177387,-0.000165,0.000312,0.000296,-1.283694,WAIT_USER_CONFIRM
0.016000,0.414106,-0.024574,0.177386,-0.000713,-0.000229,-0.000084,-1.283118,WAIT_USER_CONFIRM
0.017000,0.414105,-0.024573,0.177383,-0.001215,-0.000196,-0.001489,-1.282867,WAIT_USER_CONFIRM
0.018000,0.414108,-0.024571,0.177387,-0.000092,0.000736,0.000150,-1.282868,WAIT_USER_CONFIRM
0.019000,0.414106,-0.024571,0.177383,-0.000524,0.000320,-0.001099,-1.283097,WAIT_USER_CONFIRM
0.020000,0.414106,-0.024573,0.177384,-0.000678,0.000366,-0.000652,-1.283568,WAIT_USER_CONFIRM
0.021000,0.414108,-0.024573,0.177383,-0.000208,0.000221,-0.000507,-1.284315,WAIT_USER_CONFIRM
0.022000,0.414108,-0.024572,0.177385,-0.000075,-0.000370,0.000156,-1.285383,WAIT_USER_CONFIRM
0.023000,0.414109,-0.024572,0.177385,0.000328,-0.000552,0.000449,-1.286795,WAIT_USER_CONFIRM
0.024000,0.414107,-0.024571,0.177385,-0.000613,-0.000403,0.000243,-1.288529,WAIT_USER_CONFIRM
0.025000,0.414108,-0.024571,0.177385,0.000159,-0.000109,0.000403,-1.290526,WAIT_USER_CONFIRM
0.026000,0.414110,-0.024571,0.177386,0.000881,-0.000578,0.001043,-1.292710,WAIT_USER_CONFIRM
0.027000,0.414110,-0.024572,0.177386,0.000835,-0.000715,0.001139,-1.295001,WAIT_USER_CONFIRM
0.028000,0.414109,-0.024573,0.177384,0.000539,-0.001248,0.000231,-1.297311,WAIT_USER_CONFIRM
0.029000,0.414111,-0.024571,0.177385,0.000950,-0.000642,0.000544,-1.299573,WAIT_USER_CONFIRM
0.030000,0.414112,-0.024572,0.177385,0.000542,-0.000153,-0.000031,-1.301776,WAIT_USER_CONFIRM
0.031000,0.414112,-0.024573,0.177386,0.000467,-0.000678,-0.000303,-1.303972,WAIT_USER_CONFIRM
0.032000,0.414114,-0.024574,0.177387,0.000778,-0.000932,0.000539,-1.306271,WAIT_USER_CONFIRM
0.033000,0.414114,-0.024574,0.177385,0.001072,-0.000634,0.000648,-1.308804,WAIT_USER_CONFIRM
0.034000,0.414113,-0.024576,0.177386,0.000604,-0.000703,0.000528,-1.311683,WAIT_USER_CONFIRM
